id_cliente,idade,sexo,tempo_cliente,dependentes,nivel_educacao,estado_civil,tipo_cartao,limite_cartao,meses_inativo,total_transferido,cancelamento
768805383,45,M,39,3,Ensino Medio,Casado,Blue,12691.0,1,1144,0
818770008,49,F,44,5,Mestrado,Solteiro,Blue,8256.0,1,1291,0
713982108,51,M,36,3,Mestrado,Casado,Blue,3418.0,1,1887,0
709106358,40,M,21,3,Ensino Fundamental,Casado,Blue,4716.0,1,816,0
713061558,44,M,36,2,Mestrado,Casado,Blue,4010.0,1,1088,0
710930508,37,M,36,3,Ensino Fundamental,Solteiro,Blue,22352.0,2,1350,0
719661558,48,M,36,2,Mestrado,Solteiro,Blue,11656.0,3,1441,0
710599683,56,M,36,1,Faculdade,Solteiro,Blue,11751.0,6,1539,0
712396908,57,F,48,2,Mestrado,Casado,Blue,2436.0,2,1570,0
709967358,48,M,36,4,Pos-Graduacao,Solteiro,Blue,30367.0,2,1671,0
806160108,61,M,56,1,Ensino Medio,Casado,Blue,3193.0,2,1336,0
709327383,45,F,37,2,Mestrado,Casado,Blue,14470.0,1,1207,0
806165208,47,M,42,1,Doutorado,Divorciado,Blue,20979.0,2,1178,0
708508758,62,F,49,0,Mestrado,Casado,Blue,1438.3,3,692,1
784725333,41,M,33,3,Ensino Medio,Casado,Blue,4470.0,2,931,0
771071958,41,F,28,3,Mestrado,Solteiro,Blue,7768.0,1,1051,0
718813833,44,F,34,3,Ensino Fundamental,Solteiro,Blue,10100.0,2,1052,0
806624208,47,M,42,4,Ensino Medio,Casado,Blue,4785.0,0,1045,0
712991808,53,M,48,2,Ensino Fundamental,Casado,Blue,2451.0,5,1596,0
709029408,41,M,36,4,Mestrado,Casado,Blue,8923.0,1,1589,0
788658483,53,F,38,2,Faculdade,Casado,Blue,2650.0,2,1411,0
787937058,58,M,49,0,Mestrado,Casado,Blue,12555.0,2,1291,0
715318008,55,F,36,1,Faculdade,Solteiro,Blue,3520.0,2,1407,0
713962233,55,F,36,3,Mestrado,Casado,Blue,3035.0,2,1877,0
785432733,42,F,36,4,Ensino Medio,Casado,Gold,15433.0,3,966,0
708300483,66,F,56,0,Doutorado,Casado,Blue,7882.0,4,704,1
827111283,45,M,41,3,Mestrado,Solteiro,Blue,32426.0,2,1109,0
773146383,50,F,43,1,Faculdade,Solteiro,Silver,17304.0,2,1756,0
778493808,49,M,37,3,Ensino Medio,Casado,Blue,3906.0,2,1756,0
720572508,38,F,28,4,Mestrado,Solteiro,Blue,9830.0,3,1042,0
712661433,49,M,30,4,Ensino Fundamental,Solteiro,Blue,34516.0,2,1444,0
789172683,56,M,45,2,Doutorado,Casado,Blue,2283.0,2,1741,0
738406533,59,M,52,1,Doutorado,Casado,Blue,2548.0,2,1719,0
799723908,46,M,40,3,Ensino Medio,Casado,Blue,19458.0,3,1217,0
771490833,52,M,40,1,Faculdade,Solteiro,Blue,4745.0,1,1140,0
779471883,54,F,40,1,Mestrado,Casado,Blue,1438.3,3,705,1
711525033,66,F,54,0,Ensino Medio,Casado,Blue,3171.0,4,1946,0
714374133,56,M,36,2,Mestrado,Casado,Blue,15769.0,3,602,1
716632758,49,F,36,3,Mestrado,Solteiro,Blue,2802.0,2,1295,0
768563658,56,M,50,2,Ensino Fundamental,Casado,Blue,4458.0,2,1424,0
711427458,44,F,35,5,Mestrado,Casado,Blue,6273.0,1,1359,0
714091983,42,M,34,2,Ensino Medio,Solteiro,Blue,3336.0,4,1168,0
712030833,48,M,35,2,Mestrado,Casado,Silver,34516.0,4,691,1
711481533,39,M,33,1,Ensino Medio,Divorciado,Blue,5926.0,3,1316,0
710082708,44,M,32,4,Pos-Graduacao,Solteiro,Blue,23957.0,4,1276,0
708155733,53,M,44,2,Ensino Medio,Solteiro,Blue,14734.0,2,1289,0
788979258,51,M,38,4,Ensino Fundamental,Solteiro,Silver,34516.0,1,1293,0
807986133,57,M,52,2,Faculdade,Casado,Blue,6584.0,3,1353,0
788730933,44,F,20,2,Ensino Fundamental,Solteiro,Blue,2084.0,3,1132,0
711314058,49,M,32,2,Mestrado,Casado,Blue,1687.0,2,1670,0
717975333,50,M,38,2,Doutorado,Casado,Blue,25300.0,2,837,0
715971108,51,M,42,4,Mestrado,Solteiro,Blue,34516.0,2,1550,0
720096558,55,F,42,2,Mestrado,Casado,Blue,2216.0,3,1540,0
820582308,42,M,37,5,Ensino Fundamental,Casado,Blue,22913.0,2,1394,0
789973308,44,M,35,1,Faculdade,Solteiro,Blue,24312.0,3,1341,0
712876233,53,M,36,2,Mestrado,Solteiro,Blue,5272.0,3,1289,0
804595158,44,F,36,4,Mestrado,Solteiro,Blue,7000.0,4,1112,0
714826758,37,F,29,3,Ensino Fundamental,Solteiro,Blue,7038.0,4,2339,0
779058108,49,M,30,3,Mestrado,Divorciado,Blue,2536.0,1,1468,0
710790258,47,M,38,2,Mestrado,Casado,Blue,28904.0,3,1334,0
715623483,47,M,37,3,Mestrado,Casado,Blue,8567.0,4,1457,0
755420433,59,F,52,1,Mestrado,Casado,Blue,10133.0,3,1068,0
794543958,53,M,35,1,Mestrado,Divorciado,Blue,34516.0,4,1590,0
716396358,52,M,47,2,Mestrado,Casado,Blue,3085.0,3,1531,0
715398033,53,M,35,2,Ensino Medio,Solteiro,Blue,19040.0,2,1212,0
711743883,43,F,35,3,Ensino Fundamental,Solteiro,Blue,4026.0,2,1237,0
719720058,44,M,31,3,Ensino Medio,Solteiro,Blue,12756.0,3,1413,0
717539808,51,F,36,2,Ensino Medio,Solteiro,Blue,9930.0,2,1276,0
714070758,49,M,38,4,Ensino Medio,Solteiro,Blue,31302.0,3,1564,0
714107958,45,M,36,1,Mestrado,Solteiro,Blue,6576.0,4,1465,0
789140283,53,M,42,0,Mestrado,Solteiro,Blue,2664.0,4,1286,0
719712633,64,M,52,1,Mestrado,Casado,Blue,1709.0,4,1673,0
772629333,45,M,35,3,Mestrado,Casado,Blue,3454.0,4,1313,0
720336708,53,M,35,3,Doutorado,Casado,Blue,3789.0,3,1609,0
802013583,56,M,50,3,Faculdade,Casado,Blue,9689.0,2,1158,0
714778833,49,F,43,3,Faculdade,Solteiro,Blue,23032.0,4,1289,0
779155158,53,M,34,3,Mestrado,Casado,Blue,2940.0,2,1259,0
721091583,44,F,32,2,Mestrado,Solteiro,Blue,3031.0,3,1298,0
716657058,43,F,33,4,Pos-Graduacao,Casado,Blue,8358.0,3,1566,0
779509983,53,M,36,2,Pos-Graduacao,Solteiro,Blue,34516.0,1,1022,0
717929133,44,M,36,1,Ensino Fundamental,Casado,Blue,14450.0,2,1235,0
710916408,57,M,39,4,Mestrado,Casado,Blue,8466.0,3,1342,0
799825758,42,M,36,4,Ensino Medio,Divorciado,Blue,3263.0,1,1251,0
718619883,54,F,36,0,Ensino Fundamental,Casado,Blue,1494.0,2,1305,0
711844758,48,M,35,3,Mestrado,Solteiro,Blue,13551.0,1,1388,0
714798783,49,M,36,1,Mestrado,Solteiro,Blue,18886.0,2,1235,0
771894558,50,M,39,3,Ensino Medio,Solteiro,Blue,9964.0,1,1626,0
721074183,49,M,36,1,Doutorado,Casado,Blue,24159.0,6,1111,0
715259583,53,F,44,2,Ensino Medio,Casado,Blue,5362.0,2,1553,0
718414008,50,M,36,2,Mestrado,Solteiro,Blue,34516.0,2,1064,0
719666283,55,F,36,1,Doutorado,Casado,Blue,3174.0,1,1243,0
714877233,53,M,47,1,Ensino Medio,Casado,Blue,12262.0,2,1659,0
785387883,47,F,41,3,Ensino Medio,Solteiro,Blue,3788.0,3,1594,0
771075258,55,M,42,2,Faculdade,Solteiro,Silver,34516.0,3,1268,0
711318033,47,M,36,3,Mestrado,Solteiro,Blue,2926.0,2,1304,0
783554958,58,M,52,4,Mestrado,Solteiro,Blue,32090.0,1,1368,0
720201033,53,M,41,2,Mestrado,Casado,Blue,11669.0,3,720,1
718039683,52,M,45,2,Ensino Medio,Solteiro,Blue,13532.0,1,1521,0
714752208,42,F,36,1,Mestrado,Casado,Blue,2393.0,1,978,0
714490308,57,M,46,4,Mestrado,Casado,Blue,19270.0,2,1565,0
713356833,52,M,43,1,Mestrado,Casado,Blue,3710.0,1,1578,0
711402333,47,M,37,2,Doutorado,Solteiro,Blue,3235.0,1,1493,0
708296883,44,F,38,3,Mestrado,Solteiro,Blue,11749.0,1,1178,0
719154483,53,M,36,2,Ensino Medio,Divorciado,Blue,7753.0,3,991,0
717721458,45,M,40,4,Faculdade,Divorciado,Blue,10408.0,1,2560,0
711112683,63,F,36,1,Faculdade,Casado,Blue,3967.0,2,1657,0
715674483,39,F,27,2,Pos-Graduacao,Solteiro,Blue,6205.0,2,1204,0
789322833,48,F,38,5,Ensino Medio,Casado,Blue,8025.0,3,673,1
709919283,54,M,34,4,Mestrado,Casado,Blue,14926.0,3,1576,0
718744008,59,F,36,1,Mestrado,Solteiro,Blue,6335.0,2,1217,0
767712558,59,M,53,1,Faculdade,Solteiro,Blue,14979.0,3,530,1
712950783,48,F,38,4,Ensino Fundamental,Casado,Blue,2732.0,2,739,1
716104983,41,F,32,2,Mestrado,Solteiro,Blue,2250.0,3,1617,0
818839983,55,M,50,2,Mestrado,Casado,Blue,10916.0,2,1592,0
772288758,47,F,36,4,Mestrado,Casado,Blue,5349.0,1,1343,0
712350858,41,M,24,2,Ensino Medio,Casado,Blue,9366.0,1,1303,0
711009708,40,M,28,3,Ensino Medio,Solteiro,Blue,21617.0,1,1351,0
712720158,68,M,56,1,Mestrado,Casado,Blue,13860.0,2,1910,0
712215258,50,F,31,1,Mestrado,Solteiro,Silver,18386.0,2,1298,0
773827008,47,M,41,4,Ensino Fundamental,Solteiro,Blue,2405.0,2,1087,0
795232683,53,F,47,1,Faculdade,Casado,Blue,2154.0,2,1439,0
713539833,48,F,38,4,Ensino Medio,Solteiro,Blue,8135.0,1,1716,0
712454058,49,M,38,1,Doutorado,Casado,Blue,9364.0,1,1099,0
718759833,44,F,35,2,Ensino Fundamental,Casado,Silver,32643.0,3,1058,0
718803333,43,F,34,4,Mestrado,Divorciado,Blue,3195.0,3,1285,0
720253908,56,M,43,0,Ensino Medio,Casado,Blue,2852.0,2,1651,0
714133158,59,F,36,1,Faculdade,Solteiro,Blue,4224.0,3,1152,0
713187033,46,M,36,1,Ensino Fundamental,Casado,Blue,20459.0,2,1767,0
772426383,50,F,40,4,Ensino Fundamental,Casado,Blue,3065.0,2,1130,0
710975883,51,F,43,3,Ensino Fundamental,Casado,Blue,2185.0,1,1645,0
714264408,47,F,36,3,Ensino Fundamental,Casado,Blue,1611.0,1,1413,0
715827858,58,F,47,4,Ensino Fundamental,Casado,Blue,2822.0,3,1218,0
713741358,46,M,33,5,Mestrado,Solteiro,Blue,32975.0,3,597,1
709531908,53,M,47,3,Ensino Medio,Casado,Blue,1438.3,2,2184,0
716493408,45,F,36,4,Ensino Fundamental,Divorciado,Blue,15875.0,3,1592,0
714141108,52,F,45,1,Ensino Medio,Casado,Blue,6703.0,3,1388,0
712608783,50,M,45,2,Ensino Medio,Casado,Silver,34516.0,1,1504,0
820353558,41,F,36,3,Ensino Medio,Casado,Blue,9797.0,1,1503,0
714964758,45,F,36,5,Mestrado,Divorciado,Blue,10400.0,2,1105,0
716264358,53,M,42,3,Ensino Fundamental,Casado,Blue,26792.0,1,2398,0
717296808,67,F,56,1,Mestrado,Casado,Blue,3006.0,3,1661,0
712977183,57,F,36,2,Ensino Fundamental,Solteiro,Silver,19482.0,3,1421,0
710829108,59,F,36,1,Ensino Fundamental,Casado,Blue,3356.0,2,999,0
779562633,45,M,34,2,Ensino Fundamental,Casado,Blue,5771.0,2,1387,0
715315833,51,M,36,3,Mestrado,Casado,Blue,11106.0,2,1243,0
815500983,59,F,54,1,Ensino Fundamental,Casado,Blue,2890.0,3,1860,0
719360583,53,M,45,1,Mestrado,Casado,Blue,3380.0,2,1502,0
709701558,47,M,36,3,Mestrado,Casado,Blue,21331.0,1,1460,0
721148358,49,F,38,3,Ensino Fundamental,Solteiro,Blue,12860.0,2,1348,0
779862408,49,M,33,3,Pos-Graduacao,Solteiro,Blue,6278.0,1,1087,0
812627208,60,F,55,0,Faculdade,Solteiro,Blue,1438.3,1,1226,0
711033408,50,F,36,2,Ensino Medio,Casado,Blue,9355.0,1,1230,0
779956608,41,F,31,2,Pos-Graduacao,Casado,Blue,20758.0,1,1555,0
780376683,57,M,47,1,Mestrado,Casado,Blue,14612.0,3,1827,0
714454758,57,F,47,3,Mestrado,Casado,Blue,6347.0,2,1771,0
780466533,54,M,41,3,Doutorado,Casado,Blue,21592.0,3,1873,0
715735233,51,F,44,5,Pos-Graduacao,Casado,Blue,3449.0,1,1679,0
720476733,47,F,34,3,Ensino Medio,Casado,Blue,6028.0,1,1002,0
712375758,53,M,43,3,Ensino Fundamental,Casado,Blue,16393.0,3,1461,0
708868233,68,M,52,0,Ensino Medio,Casado,Blue,1438.3,3,760,1
718030083,59,M,36,1,Faculdade,Casado,Blue,7871.0,1,1428,0
771698658,44,M,32,5,Mestrado,Casado,Blue,11376.0,5,1302,0
748326258,48,M,41,3,Faculdade,Casado,Blue,12302.0,5,1483,0
770817783,47,M,33,4,Mestrado,Casado,Silver,34516.0,2,1060,0
779353083,47,M,32,2,Mestrado,Casado,Silver,34516.0,2,1330,0
711441333,43,F,35,1,Ensino Medio,Divorciado,Silver,10514.0,2,1229,0
719808558,55,F,43,2,Mestrado,Casado,Blue,1438.3,4,886,1
711551958,59,M,46,2,Pos-Graduacao,Casado,Blue,1438.3,3,844,1
809164083,63,M,56,1,Mestrado,Casado,Blue,2619.0,1,1450,0
820596183,58,M,53,2,Faculdade,Casado,Blue,24407.0,3,2311,0
715999608,53,F,36,2,Ensino Medio,Casado,Blue,2377.0,1,1378,0
805543158,52,M,47,3,Mestrado,Casado,Blue,11086.0,3,1523,0
709752183,48,M,36,3,Ensino Medio,Solteiro,Blue,11432.0,2,1374,0
716479233,43,M,36,4,Ensino Medio,Casado,Blue,13258.0,3,1080,0
713837058,48,M,36,2,Faculdade,Solteiro,Blue,2571.0,2,1234,0
718876683,43,F,31,4,Mestrado,Solteiro,Blue,5781.0,2,1600,0
794843883,41,M,35,3,Ensino Medio,Casado,Blue,34516.0,1,1353,0
803043933,44,F,38,3,Ensino Fundamental,Divorciado,Silver,11127.0,1,1546,0
714606558,60,F,36,1,Ensino Fundamental,Casado,Blue,1913.0,1,1448,0
778425408,44,M,24,4,Mestrado,Solteiro,Blue,3839.0,3,1271,0
714171108,48,F,39,3,Mestrado,Divorciado,Blue,2115.0,2,1223,0
719662458,44,F,27,2,Mestrado,Divorciado,Blue,1438.3,2,1117,0
713137233,41,M,28,2,Ensino Medio,Solteiro,Blue,27756.0,3,994,0
769425858,45,M,32,3,Faculdade,Solteiro,Blue,1438.3,1,1468,0
711297483,47,F,34,2,Ensino Fundamental,Divorciado,Silver,13878.0,4,1658,0
