ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,Masculino,Nao,22,Nao,Enfermeiro,1.0,Baixo,4.0,Cat_4,D
466315,Feminino,Sim,67,Sim,Engenheiro,1.0,Baixo,1.0,Cat_6,B
461735,Masculino,Sim,67,Sim,Advogado,0.0,Alto,2.0,Cat_6,B
461319,Masculino,Sim,56,Nao,Ator/Atriz,0.0,Medio,2.0,Cat_6,C
460156,Masculino,Nao,32,Sim,Enfermeiro,1.0,Baixo,3.0,Cat_6,C
464347,Feminino,Nao,33,Sim,Enfermeiro,1.0,Baixo,3.0,Cat_6,D
465015,Feminino,Sim,61,Sim,Engenheiro,0.0,Baixo,3.0,Cat_7,D
465176,Feminino,Sim,55,Sim,Ator/Atriz,1.0,Medio,4.0,Cat_6,C
464041,Feminino,Nao,26,Sim,Engenheiro,1.0,Baixo,3.0,Cat_6,A
464942,Masculino,Nao,19,Nao,Enfermeiro,4.0,Baixo,4.0,Cat_4,D
460849,Feminino,Sim,58,Nao,Medico,0.0,Baixo,1.0,Cat_3,B
460563,Feminino,Nao,41,Nao,Enfermeiro,1.0,Baixo,2.0,Cat_1,C
466865,Feminino,Nao,32,Nao,Do Lar,9.0,Baixo,5.0,Cat_3,D
461644,Masculino,Nao,31,Nao,Enfermeiro,1.0,Baixo,6.0,Cat_6,B
466772,Masculino,Sim,58,Sim,Entretenimento,1.0,Medio,4.0,Cat_6,B
464291,Feminino,Sim,79,Sim,Ator/Atriz,0.0,Alto,1.0,Cat_6,C
466084,Masculino,Sim,49,Sim,Do Lar,12.0,Baixo,1.0,Cat_3,A
459675,Feminino,Nao,18,Nao,Enfermeiro,3.0,Baixo,4.0,Cat_6,D
465602,Masculino,Sim,33,Sim,Ator/Atriz,13.0,Baixo,2.0,Cat_3,A
459168,Feminino,Nao,36,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,B
465083,Masculino,Sim,56,Nao,Ator/Atriz,1.0,Medio,3.0,Cat_6,C
467604,Masculino,Nao,31,Nao,Enfermeiro,9.0,Baixo,8.0,Cat_4,A
459717,Masculino,Sim,49,Sim,Ator/Atriz,1.0,Medio,3.0,Cat_6,C
465882,Masculino,Nao,35,Sim,Ator/Atriz,0.0,Baixo,1.0,Cat_6,B
461996,Feminino,Nao,35,Nao,Ator/Atriz,5.0,Baixo,4.0,Cat_6,C
463331,Feminino,Sim,45,Sim,Ator/Atriz,0.0,Baixo,3.0,Cat_6,C
462216,Feminino,Sim,42,Nao,Medico,1.0,Baixo,2.0,Cat_4,A
462454,Masculino,Nao,19,Nao,Enfermeiro,1.0,Baixo,3.0,Cat_2,D
459861,Feminino,Sim,83,Nao,Advogado,1.0,Alto,2.0,Cat_6,D
467917,Feminino,Nao,27,Sim,Enfermeiro,3.0,Baixo,4.0,Cat_1,D
465572,Masculino,Nao,32,Nao,Medico,5.0,Baixo,1.0,Cat_4,D
460593,Feminino,Sim,28,Nao,Enfermeiro,1.0,Medio,5.0,Cat_3,D
465891,Feminino,Sim,28,Sim,Ator/Atriz,8.0,Baixo,2.0,Cat_6,A
462044,Feminino,Nao,47,Sim,Ator/Atriz,4.0,Baixo,1.0,Cat_6,B
465686,Feminino,Nao,22,Nao,Enfermeiro,0.0,Baixo,2.0,Cat_6,D
464590,Feminino,Nao,27,Sim,Ator/Atriz,14.0,Baixo,3.0,Cat_6,A
466152,Masculino,Sim,40,Nao,Engenheiro,8.0,Baixo,1.0,Cat_6,A
465729,Masculino,Sim,41,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_4,B
462442,Masculino,Nao,19,Nao,Enfermeiro,0.0,Baixo,4.0,Cat_6,D
464191,Feminino,Nao,45,Sim,Engenheiro,1.0,Baixo,1.0,Cat_6,A
462078,Feminino,Sim,61,Nao,Ator/Atriz,1.0,Medio,2.0,Cat_2,B
467873,Feminino,Sim,36,Sim,Ator/Atriz,1.0,Medio,2.0,Cat_6,C
461270,Masculino,Sim,40,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_3,A
462960,Feminino,Sim,57,Sim,Entretenimento,0.0,Medio,2.0,Cat_6,C
464961,Masculino,Sim,76,Nao,Marketing,1.0,Baixo,1.0,Cat_4,A
462110,Masculino,Sim,32,Sim,Ator/Atriz,14.0,Medio,2.0,Cat_6,B
465769,Masculino,Nao,25,Sim,Enfermeiro,9.0,Baixo,4.0,Cat_6,D
465269,Feminino,Sim,45,Sim,Ator/Atriz,1.0,Medio,3.0,Cat_3,C
461891,Masculino,Sim,48,Sim,Ator/Atriz,0.0,Medio,2.0,Cat_6,C
466935,Masculino,Sim,55,Sim,Ator/Atriz,9.0,Medio,2.0,Cat_1,C
464091,Masculino,Sim,74,Sim,Advogado,0.0,Alto,3.0,Cat_6,D
464535,Masculino,Sim,56,Sim,Advogado,1.0,Alto,2.0,Cat_6,A
463108,Masculino,Sim,59,Sim,Advogado,7.0,Alto,2.0,Cat_6,A
461356,Masculino,Nao,25,Sim,Entretenimento,0.0,Baixo,2.0,Cat_6,A
464570,Masculino,Sim,31,Sim,Medico,0.0,Medio,2.0,Cat_6,A
464580,Masculino,Nao,27,Nao,Ator/Atriz,8.0,Baixo,4.0,Cat_6,A
465233,Masculino,Sim,57,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_6,B
459954,Masculino,Sim,27,Sim,Enfermeiro,8.0,Baixo,2.0,Cat_6,D
460219,Feminino,Sim,51,Sim,Entretenimento,8.0,Medio,2.0,Cat_6,A
460877,Feminino,Sim,47,Nao,Ator/Atriz,0.0,Medio,5.0,Cat_6,B
460191,Feminino,Nao,33,Nao,Enfermeiro,8.0,Baixo,4.0,Cat_6,D
463742,Masculino,Sim,56,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_6,C
463691,Feminino,Nao,33,Nao,Do Lar,0.0,Baixo,3.0,Cat_6,B
463250,Feminino,Nao,36,Sim,Medico,0.0,Baixo,2.0,Cat_6,D
463952,Masculino,Sim,51,Nao,Ator/Atriz,4.0,Baixo,3.0,Cat_4,A
461558,Masculino,Sim,45,Sim,Engenheiro,2.0,Medio,2.0,Cat_6,C
465379,Masculino,Nao,30,Nao,Enfermeiro,0.0,Baixo,4.0,Cat_6,C
463814,Feminino,Nao,26,Nao,Enfermeiro,6.0,Baixo,3.0,Cat_5,D
466938,Masculino,Sim,63,Sim,Ator/Atriz,8.0,Baixo,1.0,Cat_6,A
460671,Masculino,Sim,35,Nao,Entretenimento,8.0,Medio,4.0,Cat_3,B
462204,Feminino,Nao,19,Nao,Marketing,1.0,Baixo,3.0,Cat_4,A
461671,Masculino,Nao,32,Nao,Enfermeiro,7.0,Baixo,5.0,Cat_6,D
459384,Masculino,Sim,52,Sim,Ator/Atriz,0.0,Medio,3.0,Cat_6,C
459905,Feminino,Sim,36,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,C
464734,Feminino,Nao,42,Nao,Entretenimento,7.0,Baixo,3.0,Cat_4,D
464125,Masculino,Sim,40,Nao,Medico,0.0,Medio,2.0,Cat_3,D
467434,Masculino,Nao,39,Sim,Entretenimento,0.0,Baixo,3.0,Cat_1,B
460956,Feminino,Sim,47,Sim,Ator/Atriz,1.0,Medio,4.0,Cat_3,C
465179,Feminino,Sim,61,Sim,Ator/Atriz,1.0,Alto,2.0,Cat_6,C
463338,Masculino,Sim,32,Nao,Entretenimento,1.0,Baixo,2.0,Cat_3,D
467066,Masculino,Sim,55,Nao,Ator/Atriz,0.0,Baixo,1.0,Cat_6,B
459976,Feminino,Nao,38,Sim,Ator/Atriz,0.0,Baixo,1.0,Cat_6,D
461334,Masculino,Sim,63,Sim,Ator/Atriz,0.0,Alto,2.0,Cat_6,C
465108,Masculino,Sim,58,Sim,Medico,1.0,Medio,2.0,Cat_6,C
462600,Masculino,Sim,30,Nao,Engenheiro,3.0,Medio,3.0,Cat_4,D
464144,Masculino,Sim,60,Sim,Ator/Atriz,0.0,Medio,4.0,Cat_6,C
466911,Masculino,Sim,68,Nao,Executivo,1.0,Alto,7.0,Cat_6,B
462806,Masculino,Sim,52,Nao,Ator/Atriz,0.0,Baixo,3.0,Cat_4,A
463426,Masculino,Sim,38,Nao,Executivo,0.0,Alto,5.0,Cat_6,A
464065,Feminino,Sim,35,Sim,Enfermeiro,10.0,Baixo,2.0,Cat_6,B
462979,Masculino,Nao,18,Nao,Medico,1.0,Baixo,2.0,Cat_6,D
462834,Masculino,Sim,30,Sim,Do Lar,3.0,Baixo,2.0,Cat_1,D
460764,Masculino,Nao,86,Nao,Advogado,1.0,Baixo,1.0,Cat_6,D
460185,Masculino,Nao,25,Nao,Enfermeiro,9.0,Baixo,3.0,Cat_6,D
464406,Feminino,Nao,39,Sim,Ator/Atriz,0.0,Baixo,1.0,Cat_6,A
462059,Masculino,Nao,47,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,C
467905,Masculino,Sim,43,Sim,Executivo,0.0,Alto,3.0,Cat_6,D
461177,Masculino,Sim,36,Nao,Executivo,8.0,Medio,4.0,Cat_1,B
460765,Masculino,Sim,80,Nao,Advogado,1.0,Baixo,1.0,Cat_6,D
465386,Masculino,Nao,36,Sim,Ator/Atriz,0.0,Baixo,2.0,Cat_2,C
462332,Feminino,Sim,37,Sim,Ator/Atriz,1.0,Alto,2.0,Cat_7,A
464481,Masculino,Sim,46,Sim,Executivo,0.0,Alto,3.0,Cat_6,C
461011,Masculino,Sim,55,Nao,Executivo,1.0,Alto,4.0,Cat_3,B
464749,Feminino,Sim,47,Nao,Engenheiro,9.0,Medio,4.0,Cat_4,B
461094,Feminino,Nao,28,Sim,Enfermeiro,1.0,Baixo,3.0,Cat_3,D
462104,Masculino,Sim,39,Nao,Entretenimento,9.0,Baixo,2.0,Cat_3,D
464524,Feminino,Sim,27,Nao,Marketing,1.0,Baixo,2.0,Cat_6,A
461787,Masculino,Sim,72,Sim,Ator/Atriz,0.0,Medio,2.0,Cat_6,C
467857,Feminino,Sim,28,Sim,Engenheiro,0.0,Baixo,2.0,Cat_6,A
460153,Masculino,Nao,35,Sim,Entretenimento,8.0,Baixo,5.0,Cat_6,C
465215,Masculino,Sim,39,Sim,Executivo,9.0,Alto,5.0,Cat_2,A
466746,Feminino,Sim,69,Sim,Advogado,0.0,Alto,2.0,Cat_6,C
464857,Masculino,Nao,18,Nao,Enfermeiro,6.0,Baixo,4.0,Cat_4,D
460723,Feminino,Sim,50,Sim,Engenheiro,1.0,Alto,2.0,Cat_4,B
459853,Masculino,Nao,30,Nao,Executivo,5.0,Baixo,5.0,Cat_6,A
460410,Feminino,Nao,39,Sim,Ator/Atriz,3.0,Baixo,4.0,Cat_6,D
463823,Feminino,Nao,29,Nao,Marketing,8.0,Baixo,4.0,Cat_6,D
462008,Feminino,Sim,37,Sim,Ator/Atriz,4.0,Baixo,4.0,Cat_5,B
459750,Feminino,Sim,39,Sim,Engenheiro,0.0,Medio,2.0,Cat_6,A
459880,Feminino,Sim,48,Sim,Ator/Atriz,0.0,Medio,5.0,Cat_7,C
459261,Feminino,Nao,32,Sim,Medico,0.0,Baixo,3.0,Cat_6,C
465395,Feminino,Sim,43,Nao,Engenheiro,0.0,Medio,5.0,Cat_4,B
461631,Masculino,Nao,29,Nao,Marketing,8.0,Baixo,5.0,Cat_6,C
464904,Feminino,Sim,28,Nao,Engenheiro,9.0,Medio,2.0,Cat_4,A
461740,Masculino,Sim,80,Sim,Advogado,1.0,Baixo,1.0,Cat_6,B
467092,Feminino,Nao,28,Sim,Enfermeiro,7.0,Baixo,4.0,Cat_6,D
464173,Masculino,Sim,71,Sim,Ator/Atriz,6.0,Medio,3.0,Cat_6,C
464972,Masculino,Sim,67,Nao,Advogado,0.0,Alto,9.0,Cat_4,A
467959,Feminino,Nao,26,Nao,Engenheiro,0.0,Baixo,1.0,Cat_2,A
467688,Feminino,Sim,47,Sim,Engenheiro,0.0,Medio,2.0,Cat_6,C
460043,Feminino,Sim,43,Sim,Ator/Atriz,2.0,Medio,2.0,Cat_6,B
466590,Feminino,Nao,27,Sim,Enfermeiro,0.0,Baixo,4.0,Cat_6,C
461191,Feminino,Sim,45,Sim,Marketing,8.0,Baixo,4.0,Cat_6,D
465662,Masculino,Sim,76,Nao,Executivo,1.0,Baixo,1.0,Cat_6,C
459231,Feminino,Sim,43,Sim,Ator/Atriz,3.0,Medio,4.0,Cat_6,C
466495,Feminino,Sim,78,Sim,Advogado,1.0,Alto,2.0,Cat_6,B
459192,Masculino,Sim,35,Sim,Ator/Atriz,3.0,Medio,3.0,Cat_6,C
465710,Feminino,Nao,49,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,C
460258,Feminino,Nao,25,Sim,Enfermeiro,1.0,Baixo,5.0,Cat_6,D
462813,Masculino,Sim,37,Nao,Executivo,0.0,Medio,5.0,Cat_6,A
467768,Masculino,Sim,60,Sim,Medico,0.0,Medio,2.0,Cat_6,C
465291,Feminino,Sim,45,Sim,Ator/Atriz,5.0,Medio,3.0,Cat_6,C
462996,Feminino,Sim,49,Sim,Do Lar,9.0,Medio,3.0,Cat_6,C
463497,Masculino,Nao,32,Sim,Ator/Atriz,0.0,Baixo,5.0,Cat_6,D
465301,Feminino,Sim,40,Sim,Ator/Atriz,0.0,Baixo,3.0,Cat_3,B
464702,Masculino,Sim,59,Nao,Ator/Atriz,2.0,Medio,2.0,Cat_4,C
459012,Masculino,Sim,48,Sim,Ator/Atriz,3.0,Baixo,5.0,Cat_6,B
465053,Masculino,Sim,82,Sim,Executivo,0.0,Alto,2.0,Cat_6,C
459420,Feminino,Sim,70,Sim,Advogado,0.0,Baixo,2.0,Cat_6,B
464166,Masculino,Nao,31,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,B
458987,Feminino,Sim,72,Sim,Advogado,0.0,Alto,2.0,Cat_6,C
467745,Masculino,Sim,50,Sim,Ator/Atriz,3.0,Medio,4.0,Cat_6,C
464866,Feminino,Nao,23,Nao,Engenheiro,11.0,Baixo,1.0,Cat_3,D
461081,Feminino,Nao,20,Nao,Enfermeiro,2.0,Baixo,6.0,Cat_6,D
467896,Feminino,Nao,22,Nao,Enfermeiro,4.0,Baixo,3.0,Cat_6,D
463991,Feminino,Nao,31,Sim,Engenheiro,8.0,Baixo,1.0,Cat_6,A
466620,Feminino,Sim,36,Sim,Ator/Atriz,7.0,Medio,2.0,Cat_6,C
460697,Masculino,Sim,40,Sim,Ator/Atriz,4.0,Medio,4.0,Cat_6,C
467934,Feminino,Nao,40,Sim,Ator/Atriz,1.0,Baixo,1.0,Cat_6,A
467910,Feminino,Nao,21,Nao,Medico,1.0,Baixo,3.0,Cat_7,A
467335,Feminino,Sim,41,Nao,Engenheiro,4.0,Medio,2.0,Cat_6,D
460263,Masculino,Sim,40,Sim,Ator/Atriz,0.0,Baixo,2.0,Cat_6,B
459340,Masculino,Sim,53,Sim,Ator/Atriz,1.0,Medio,3.0,Cat_6,B
465622,Feminino,Sim,42,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,C
459395,Masculino,Sim,42,Nao,Executivo,8.0,Baixo,2.0,Cat_6,D
466574,Masculino,Sim,59,Sim,Ator/Atriz,7.0,Baixo,2.0,Cat_6,C
466544,Masculino,Sim,41,Sim,Executivo,1.0,Medio,3.0,Cat_6,A
463610,Feminino,Sim,31,Sim,Ator/Atriz,0.0,Medio,2.0,Cat_6,A
465539,Feminino,Sim,49,Sim,Ator/Atriz,1.0,Alto,5.0,Cat_6,B
459823,Masculino,Sim,67,Sim,Executivo,1.0,Baixo,2.0,Cat_6,A
467614,Masculino,Sim,35,Nao,Ator/Atriz,4.0,Medio,2.0,Cat_6,B
459073,Feminino,Nao,26,Sim,Enfermeiro,0.0,Baixo,3.0,Cat_6,C
464863,Feminino,Sim,25,Nao,Engenheiro,6.0,Medio,8.0,Cat_4,D
460022,Feminino,Sim,39,Sim,Enfermeiro,4.0,Baixo,2.0,Cat_6,A
459929,Masculino,Sim,63,Sim,Entretenimento,0.0,Baixo,2.0,Cat_6,A
466613,Masculino,Nao,23,Nao,Enfermeiro,8.0,Baixo,3.0,Cat_6,D
461149,Feminino,Nao,23,Nao,Enfermeiro,0.0,Baixo,3.0,Cat_3,D
466068,Feminino,Sim,53,Sim,Ator/Atriz,2.0,Baixo,1.0,Cat_6,C
461513,Masculino,Nao,33,Sim,Medico,0.0,Baixo,2.0,Cat_6,B
466236,Feminino,Sim,69,Sim,Engenheiro,0.0,Baixo,2.0,Cat_4,B
459664,Masculino,Nao,37,Sim,Ator/Atriz,2.0,Baixo,1.0,Cat_6,B
461967,Feminino,Nao,20,Nao,Marketing,3.0,Baixo,4.0,Cat_7,C
461710,Feminino,Sim,49,Sim,Medico,1.0,Medio,4.0,Cat_6,C
462742,Masculino,Nao,18,Nao,Enfermeiro,0.0,Baixo,3.0,Cat_3,D
459528,Feminino,Sim,52,Sim,Medico,0.0,Medio,2.0,Cat_6,C
467515,Masculino,Sim,28,Sim,Engenheiro,0.0,Medio,2.0,Cat_6,A
463429,Feminino,Nao,28,Sim,Ator/Atriz,7.0,Baixo,3.0,Cat_6,A
464024,Masculino,Nao,20,Nao,Enfermeiro,0.0,Baixo,5.0,Cat_7,D
460691,Feminino,Nao,27,Nao,Do Lar,8.0,Baixo,1.0,Cat_3,D
467271,Masculino,Sim,45,Sim,Ator/Atriz,4.0,Medio,4.0,Cat_6,B
465634,Masculino,Nao,25,Sim,Enfermeiro,1.0,Baixo,4.0,Cat_4,B
464801,Masculino,Nao,40,Nao,Marketing,1.0,Baixo,1.0,Cat_4,D
462036,Feminino,Sim,67,Sim,Advogado,0.0,Alto,2.0,Cat_6,B
460448,Feminino,Nao,38,Sim,Ator/Atriz,9.0,Baixo,1.0,Cat_3,A
464464,Masculino,Nao,28,Nao,Enfermeiro,0.0,Baixo,4.0,Cat_2,C
462410,Feminino,Nao,32,Nao,Enfermeiro,1.0,Baixo,5.0,Cat_7,B
459756,Feminino,Sim,56,Nao,Advogado,1.0,Alto,4.0,Cat_4,B
463789,Feminino,Sim,53,Sim,Ator/Atriz,1.0,Baixo,2.0,Cat_6,C
466947,Masculino,Sim,57,Nao,Executivo,1.0,Alto,5.0,Cat_6,C
464150,Feminino,Sim,59,Sim,Ator/Atriz,0.0,Medio,3.0,Cat_6,C
465693,Feminino,Sim,25,Sim,Enfermeiro,1.0,Alto,4.0,Cat_4,A
461670,Masculino,Sim,59,Sim,Ator/Atriz,0.0,Medio,6.0,Cat_6,C
466768,Feminino,Sim,36,Sim,Ator/Atriz,0.0,Baixo,4.0,Cat_6,C
461550,Masculino,Sim,37,Sim,Entretenimento,7.0,Baixo,2.0,Cat_6,A
462438,Masculino,Nao,22,Nao,Medico,1.0,Baixo,3.0,Cat_2,D
460704,Masculino,Sim,43,Sim,Ator/Atriz,1.0,Baixo,2.0,Cat_6,B
