,ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,renda,tempo_ultima_compra,automoveis_adquiridos,avalicao_cliente
0,462809,Masculino,Nao,22,Nao,Enfermeiro,1.0,Baixo,4.0,Cat_4,D,12746.39,12,2,9
2,461735,Masculino,Sim,67,Sim,Advogado,0.0,Alto,2.0,Cat_6,B,6593.19,30,4,6
3,461319,Masculino,Sim,56,Nao,Ator/Atriz,0.0,Medio,2.0,Cat_6,C,6763.57,8,1,10
4,460156,Masculino,Nao,32,Sim,Enfermeiro,1.0,Baixo,3.0,Cat_6,C,14007.8,20,2,4
5,464347,Feminino,Nao,33,Sim,Enfermeiro,1.0,Baixo,3.0,Cat_6,D,14201.91,12,2,9
7,465176,Feminino,Sim,55,Sim,Ator/Atriz,1.0,Medio,4.0,Cat_6,C,1987.94,22,1,10
9,464942,Masculino,Nao,19,Nao,Enfermeiro,4.0,Baixo,4.0,Cat_4,D,11932.2,1,2,10
10,460849,Feminino,Sim,58,Nao,Medico,0.0,Baixo,1.0,Cat_3,B,11245.51,12,1,10
11,460563,Feminino,Nao,41,Nao,Enfermeiro,1.0,Baixo,2.0,Cat_1,C,13162.92,22,1,9
12,466865,Feminino,Nao,32,Nao,Do Lar,9.0,Baixo,5.0,Cat_3,D,4484.27,16,1,10
13,461644,Masculino,Nao,31,Nao,Enfermeiro,1.0,Baixo,6.0,Cat_6,B,12552.35,3,2,10
14,466772,Masculino,Sim,58,Sim,Entretenimento,1.0,Medio,4.0,Cat_6,B,6792.58,4,2,10
15,464291,Feminino,Sim,79,Sim,Ator/Atriz,0.0,Alto,1.0,Cat_6,C,7088.39,20,2,4
16,466084,Masculino,Sim,49,Sim,Do Lar,12.0,Baixo,1.0,Cat_3,A,4468.82,27,1,9
17,459675,Feminino,Nao,18,Nao,Enfermeiro,3.0,Baixo,4.0,Cat_6,D,13492.35,7,2,8
18,465602,Masculino,Sim,33,Sim,Ator/Atriz,13.0,Baixo,2.0,Cat_3,A,6945.36,17,1,10
19,459168,Feminino,Nao,36,Sim,Ator/Atriz,5.0,Baixo,2.0,Cat_6,B,7182.73,31,1,5
20,465083,Masculino,Sim,56,Nao,Ator/Atriz,1.0,Medio,3.0,Cat_6,C,4184.75,37,1,10
21,467604,Masculino,Nao,31,Nao,Enfermeiro,9.0,Baixo,8.0,Cat_4,A,11842.99,37,1,2
22,459717,Masculino,Sim,49,Sim,Ator/Atriz,1.0,Medio,3.0,Cat_6,C,10448.03,16,3,6
23,465882,Masculino,Nao,35,Sim,Ator/Atriz,0.0,Baixo,1.0,Cat_6,B,6181.11,2,1,8
24,461996,Feminino,Nao,35,Nao,Ator/Atriz,5.0,Baixo,4.0,Cat_6,C,2599.25,16,1,7
25,463331,Feminino,Sim,45,Sim,Ator/Atriz,0.0,Baixo,3.0,Cat_6,C,2993.52,3,1,2
26,462216,Feminino,Sim,42,Nao,Medico,1.0,Baixo,2.0,Cat_4,A,7586.51,11,1,8
27,462454,Masculino,Nao,19,Nao,Enfermeiro,1.0,Baixo,3.0,Cat_2,D,14509.18,2,1,7
28,459861,Feminino,Sim,83,Nao,Advogado,1.0,Alto,2.0,Cat_6,D,2959.61,29,1,9
29,467917,Feminino,Nao,27,Sim,Enfermeiro,3.0,Baixo,4.0,Cat_1,D,11869.17,31,2,8
30,465572,Masculino,Nao,32,Nao,Medico,5.0,Baixo,1.0,Cat_4,D,9515.32,20,2,2
31,460593,Feminino,Sim,28,Nao,Enfermeiro,1.0,Medio,5.0,Cat_3,D,12570.83,8,1,3
32,465891,Feminino,Sim,28,Sim,Ator/Atriz,8.0,Baixo,2.0,Cat_6,A,9170.63,17,2,10
33,462044,Feminino,Nao,47,Sim,Ator/Atriz,4.0,Baixo,1.0,Cat_6,B,2367.44,0,1,1
34,465686,Feminino,Nao,22,Nao,Enfermeiro,0.0,Baixo,2.0,Cat_6,D,11388.94,29,4,6
