NU_INSCRICAO,TP_FAIXA_ETARIA,TP_SEXO,TP_COR_RACA,TP_ANO_CONCLUIU,TP_ENSINO,IN_TREINEIRO,NO_MUNICIPIO_PROVA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,NU_NOTA_REDACAO,Q005,Q006
210058073303,5,F,2,0,1.0,0,Duque de Caxias,493.5,565.3,527.3,589.2,680.0,4,B
210059602773,3,F,1,0,1.0,0,Duque de Caxias,458.6,576.6,553.1,621.8,640.0,3,E
210059098056,2,F,1,0,1.0,0,Duque de Caxias,533.5,569.1,561.0,384.0,680.0,3,F
210058581146,2,F,1,0,1.0,0,Nova Iguaçu,483.2,594.2,592.8,569.1,780.0,8,B
210059994022,2,M,2,0,1.0,0,Duque de Caxias,374.4,593.6,580.5,657.5,800.0,3,D
210059098070,3,F,1,0,1.0,0,Niterói,569.5,624.8,588.7,633.7,880.0,2,C
210060036784,3,F,2,0,1.0,0,Duque de Caxias,472.8,403.0,445.2,389.4,420.0,4,B
210059416199,3,M,1,0,1.0,0,Duque de Caxias,536.8,589.0,494.6,610.7,740.0,3,B
210058414423,2,M,2,0,1.0,0,Duque de Caxias,457.3,507.5,576.6,333.6,340.0,3,C
210060460399,2,F,1,0,1.0,0,Duque de Caxias,427.9,455.9,460.0,493.6,660.0,4,D
210058405029,3,F,3,0,1.0,0,Maricá,554.4,637.5,582.8,589.0,620.0,4,F
210059883221,3,F,1,0,1.0,0,Nova Iguaçu,390.9,491.7,533.5,427.4,440.0,3,C
210061254675,2,M,3,0,1.0,0,Belford Roxo,448.6,386.1,502.7,501.5,560.0,4,D
210058995872,3,F,3,0,1.0,0,Nilópolis,377.5,470.0,476.6,389.9,800.0,3,B
210059416186,3,F,3,0,1.0,0,Belford Roxo,392.4,507.7,395.4,464.6,580.0,9,B
210058432017,3,F,3,0,1.0,0,Niterói,529.5,389.1,470.7,471.5,600.0,5,C
210059937406,3,F,1,0,1.0,0,São João de Meriti,578.2,645.6,636.9,650.4,980.0,4,J
210059470525,3,F,1,0,1.0,0,Niterói,482.1,605.1,554.8,628.4,900.0,3,B
210058782243,3,F,1,0,1.0,0,Niterói,425.8,432.3,465.0,420.5,520.0,4,C
210058105576,2,F,3,0,1.0,0,Duque de Caxias,465.9,525.3,543.7,450.8,700.0,3,C
210060666744,2,F,2,0,1.0,0,Duque de Caxias,486.1,493.6,482.0,677.0,560.0,3,B
210058105552,3,F,2,0,1.0,0,São João de Meriti,435.4,404.8,468.2,412.0,500.0,3,B
210060677893,3,F,1,0,1.0,0,Niterói,559.5,565.7,552.5,635.6,880.0,3,I
210059375951,4,F,1,0,1.0,0,Niterói,512.9,400.2,351.7,414.7,780.0,5,G
210059124007,3,F,3,0,1.0,0,Niterói,608.3,430.8,562.2,589.7,900.0,2,B
210058422563,3,F,3,0,1.0,0,Duque de Caxias,478.7,429.0,419.1,454.7,580.0,7,C
210059628719,2,F,1,0,1.0,0,Duque de Caxias,426.0,496.9,545.5,421.8,520.0,3,B
210060386235,3,F,1,0,1.0,0,Duque de Caxias,431.3,510.8,484.7,414.7,640.0,2,B
210059037181,3,F,2,0,1.0,0,Belford Roxo,431.3,477.6,422.4,524.2,440.0,5,A
210059052155,3,F,1,0,1.0,0,Nova Iguaçu,671.4,582.1,512.4,624.5,920.0,4,B
210059807620,4,F,2,0,1.0,0,Duque de Caxias,482.3,498.1,470.5,385.0,960.0,3,D
210059288326,4,F,3,0,1.0,0,Belford Roxo,438.6,363.9,494.1,447.7,820.0,2,B
210059641643,2,F,1,0,1.0,0,Niterói,501.5,527.0,502.9,555.5,780.0,3,C
210060022119,3,F,3,0,1.0,0,Nova Iguaçu,463.6,451.3,511.2,412.6,520.0,3,A
210058441471,3,F,1,0,1.0,0,Duque de Caxias,485.8,448.8,509.6,604.9,560.0,4,G
210060708882,2,F,3,0,1.0,0,Nova Iguaçu,487.5,571.8,547.7,372.8,580.0,3,A
210060391989,3,F,1,0,1.0,0,Niterói,436.2,523.9,482.8,350.8,520.0,6,C
